nb_comp,nb_trans,time
6,53,0.03683200000000042
6,54,0.03656500000000129
6,55,0.03360800000000097
6,56,0.03673600000000121
6,57,0.03728299999999862
6,58,0.03740200000000016
6,59,0.03846499999999864
6,60,0.04173599999999844
6,61,0.052350999999999814
6,62,0.039341999999999544
6,63,0.039832999999999785
6,64,0.041854000000000724
6,65,0.046464999999999534
6,66,0.054237999999999786
6,67,0.04288500000000006
6,68,0.043701999999999686
6,69,0.04052700000000087
6,70,0.04566499999999962
6,71,0.05334599999999945
6,72,0.04608900000000027
6,73,0.07404799999999945
6,74,0.052540000000000475
6,75,0.04176000000000002
6,76,0.045744000000000895
6,77,0.04459899999999983
6,78,0.0478070000000006
6,79,0.04930199999999907
6,80,0.04978299999999969
6,81,0.04490499999999997
6,82,0.048510000000000275
6,83,0.06666999999999845
6,84,0.05014800000000008
6,85,0.05455599999999983
6,86,0.05413200000000096
6,87,0.06479500000000016
6,88,0.05423600000000128
6,89,0.050328999999999624
6,90,0.06174799999999969
6,91,0.05741700000000094
6,92,0.07260000000000133
6,93,0.056829999999999714
6,94,0.054794999999998595
6,95,0.05532999999999966
6,96,0.15027499999999883
6,97,0.06057300000000154
6,98,0.05633800000000022
6,99,0.05834899999999976
6,100,0.08024400000000043
7,1,0.015100999999999587
7,2,0.008670999999999651
7,3,0.009181999999999135
7,4,0.009380000000000166
7,5,0.010141000000000844
7,6,0.01020600000000016
7,7,0.01376899999999992
7,8,0.013673999999999964
7,9,0.031487000000000265
7,10,0.012412999999998675
7,11,0.013867000000001184
7,12,0.013380999999998977
7,13,0.030168999999999002
7,14,0.020776999999998935
7,15,0.02024199999999965
7,16,0.016785999999999746
7,17,0.01704100000000075
7,18,0.018544000000000338
7,19,0.017680000000000362
7,20,0.02275999999999989
7,21,0.024694999999999467
7,22,0.033306999999998865
7,23,0.025410999999998296
7,24,0.02381699999999931
7,25,0.021600000000001174
7,26,0.022974000000001382
7,27,0.02383500000000005
7,28,0.023102999999998985
7,29,0.025452000000001362
7,30,0.025592999999998867
7,31,0.02623399999999876
7,32,0.025607000000000824
7,33,0.032249999999999446
7,34,0.028570999999999458
7,35,0.037871000000000876
7,36,0.029289000000000343
7,37,0.04812100000000008
7,38,0.09793499999999966
7,39,0.031802000000000774
7,40,0.0317349999999994
7,41,0.032696999999998866
7,42,0.033696000000000836
7,43,0.033682000000000656
7,44,0.033841000000000676
7,45,0.03453600000000101
7,46,0.03511199999999981
7,47,0.03694100000000056
7,48,0.03501899999999836
7,49,0.03691699999999898
7,50,0.035486999999999824
7,51,0.05832400000000071
7,52,0.025725999999998805
7,53,0.02674999999999983
7,54,0.02646900000000052
